Growth,Large,Momentum,Quality,Small,Value,Market,LowVol,Period
1.00,0.92***,0.72***,0.91***,0.65***,0.71***,0.92***,0.91***,1998-12-31 to 2003-12-31
0.92***,1.00,0.64***,0.85***,0.72***,0.92***,1.00***,0.88***,1998-12-31 to 2003-12-31
0.72***,0.64***,1.00,0.65***,0.51***,0.46***,0.63***,0.89***,1998-12-31 to 2003-12-31
0.91***,0.85***,0.65***,1.00,0.64***,0.69***,0.86***,0.91***,1998-12-31 to 2003-12-31
0.65***,0.72***,0.51***,0.64***,1.00,0.71***,0.74***,0.86***,1998-12-31 to 2003-12-31
0.71***,0.92***,0.46***,0.69***,0.71***,1.00,0.93***,0.84***,1998-12-31 to 2003-12-31
0.92***,1.00***,0.63***,0.86***,0.74***,0.93***,1.00,0.89***,1998-12-31 to 2003-12-31
0.91***,0.88***,0.89***,0.91***,0.86***,0.84***,0.89***,1.00,1998-12-31 to 2003-12-31
1.00,0.94***,0.86***,0.85***,0.71***,0.82***,0.94***,0.73***,2003-12-31 to 2007-12-31
0.94***,1.00,0.82***,0.84***,0.70***,0.94***,0.99***,0.76***,2003-12-31 to 2007-12-31
0.86***,0.82***,1.00,0.77***,0.74***,0.78***,0.85***,0.66***,2003-12-31 to 2007-12-31
0.85***,0.84***,0.77***,1.00,0.56***,0.75***,0.83***,0.63***,2003-12-31 to 2007-12-31
0.71***,0.70***,0.74***,0.56***,1.00,0.77***,0.78***,0.68***,2003-12-31 to 2007-12-31
0.82***,0.94***,0.78***,0.75***,0.77***,1.00,0.96***,0.79***,2003-12-31 to 2007-12-31
0.94***,0.99***,0.85***,0.83***,0.78***,0.96***,1.00,0.80***,2003-12-31 to 2007-12-31
0.73***,0.76***,0.66***,0.63***,0.68***,0.79***,0.80***,1.00,2003-12-31 to 2007-12-31
1.00,0.96***,0.87***,0.92***,0.86***,0.87***,0.96***,0.89***,2007-12-31 to 2009-12-31
0.96***,1.00,0.79***,0.87***,0.86***,0.97***,1.00***,0.93***,2007-12-31 to 2009-12-31
0.87***,0.79***,1.00,0.95***,0.69***,0.68***,0.78***,0.72***,2007-12-31 to 2009-12-31
0.92***,0.87***,0.95***,1.00,0.72***,0.77***,0.86***,0.81***,2007-12-31 to 2009-12-31
0.86***,0.86***,0.69***,0.72***,1.00,0.85***,0.89***,0.77***,2007-12-31 to 2009-12-31
0.87***,0.97***,0.68***,0.77***,0.85***,1.00,0.97***,0.90***,2007-12-31 to 2009-12-31
0.96***,1.00***,0.78***,0.86***,0.89***,0.97***,1.00,0.93***,2007-12-31 to 2009-12-31
0.89***,0.93***,0.72***,0.81***,0.77***,0.90***,0.93***,1.00,2007-12-31 to 2009-12-31
1.00,0.90***,0.83***,0.81***,0.79***,0.73***,0.91***,0.77***,2009-12-31 to 2012-12-31
0.90***,1.00,0.75***,0.75***,0.77***,0.95***,1.00***,0.83***,2009-12-31 to 2012-12-31
0.83***,0.75***,1.00,0.64***,0.60***,0.60***,0.75***,0.69***,2009-12-31 to 2012-12-31
0.81***,0.75***,0.64***,1.00,0.55***,0.61***,0.75***,0.70***,2009-12-31 to 2012-12-31
0.79***,0.77***,0.60***,0.55***,1.00,0.72***,0.81***,0.54***,2009-12-31 to 2012-12-31
0.73***,0.95***,0.60***,0.61***,0.72***,1.00,0.94***,0.74***,2009-12-31 to 2012-12-31
0.91***,1.00***,0.75***,0.75***,0.81***,0.94***,1.00,0.81***,2009-12-31 to 2012-12-31
0.77***,0.83***,0.69***,0.70***,0.54***,0.74***,0.81***,1.00,2009-12-31 to 2012-12-31
1.00,0.89***,0.88***,0.96***,0.77***,0.70***,0.91***,0.90***,2012-12-31 to 2019-12-31
0.89***,1.00,0.79***,0.86***,0.75***,0.93***,0.99***,0.82***,2012-12-31 to 2019-12-31
0.88***,0.79***,1.00,0.85***,0.69***,0.63***,0.81***,0.83***,2012-12-31 to 2019-12-31
0.96***,0.86***,0.85***,1.00,0.70***,0.66***,0.87***,0.93***,2012-12-31 to 2019-12-31
0.77***,0.75***,0.69***,0.70***,1.00,0.72***,0.80***,0.61***,2012-12-31 to 2019-12-31
0.70***,0.93***,0.63***,0.66***,0.72***,1.00,0.93***,0.63***,2012-12-31 to 2019-12-31
0.91***,0.99***,0.81***,0.87***,0.80***,0.93***,1.00,0.82***,2012-12-31 to 2019-12-31
0.90***,0.82***,0.83***,0.93***,0.61***,0.63***,0.82***,1.00,2012-12-31 to 2019-12-31
1.00,0.90***,0.94***,0.98***,0.84***,0.77***,0.91***,0.93***,2019-12-31 to 2021-12-31
0.90***,1.00,0.83***,0.89***,0.87***,0.96***,1.00***,0.86***,2019-12-31 to 2021-12-31
0.94***,0.83***,1.00,0.90***,0.84***,0.72***,0.85***,0.87***,2019-12-31 to 2021-12-31
0.98***,0.89***,0.90***,1.00,0.79***,0.76***,0.90***,0.93***,2019-12-31 to 2021-12-31
0.84***,0.87***,0.84***,0.79***,1.00,0.87***,0.91***,0.75***,2019-12-31 to 2021-12-31
0.77***,0.96***,0.72***,0.76***,0.87***,1.00,0.96***,0.74***,2019-12-31 to 2021-12-31
0.91***,1.00***,0.85***,0.90***,0.91***,0.96***,1.00,0.86***,2019-12-31 to 2021-12-31
0.93***,0.86***,0.87***,0.93***,0.75***,0.74***,0.86***,1.00,2019-12-31 to 2021-12-31
1.00,0.85***,0.78***,0.96***,0.74***,0.42***,0.85***,0.81***,2021-12-31 to 2024-12-31
0.85***,1.00,0.80***,0.85***,0.87***,0.79***,1.00***,0.82***,2021-12-31 to 2024-12-31
0.78***,0.80***,1.00,0.71***,0.74***,0.56***,0.81***,0.79***,2021-12-31 to 2024-12-31
0.96***,0.85***,0.71***,1.00,0.73***,0.46***,0.86***,0.82***,2021-12-31 to 2024-12-31
0.74***,0.87***,0.74***,0.73***,1.00,0.77***,0.91***,0.75***,2021-12-31 to 2024-12-31
0.42***,0.79***,0.56***,0.46***,0.77***,1.00,0.80***,0.56***,2021-12-31 to 2024-12-31
0.85***,1.00***,0.81***,0.86***,0.91***,0.80***,1.00,0.83***,2021-12-31 to 2024-12-31
0.81***,0.82***,0.79***,0.82***,0.75***,0.56***,0.83***,1.00,2021-12-31 to 2024-12-31
