Period,Factor,Growth,Large,Momentum,Quality,Small,Value,Market,LowVol
1998-12-31 to 2003-12-31,Alpha,"0,00","0,00","0,01","0,01","0,00","0,00","0,00","-0,01"
1998-12-31 to 2003-12-31,Mkt-RF,"0,51***","0,57***","0,46***","0,40***","0,70***","0,65***","0,58***","0,64***"
1998-12-31 to 2003-12-31,SMB,"-0,59***","-0,57***","-0,22","-0,48***","0,38*","-0,51**","-0,54***","-0,22"
1998-12-31 to 2003-12-31,HML,"-0,40*","-0,16","-0,19","-0,37","0,00","0,12","-0,13","0,07"
1998-12-31 to 2003-12-31,RMW,"-0,07","-0,28","0,31","-0,00","-0,32","-0,48*","-0,27","0,35"
1998-12-31 to 2003-12-31,CMA,"-0,38","-0,39","-0,50","-0,12","-0,36","-0,33","-0,36","0,07"
1998-12-31 to 2003-12-31,Mean Residuals,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","-0,00"
2003-12-31 to 2007-12-31,Alpha,"-0,00","-0,00","0,00","-0,00","-0,00","-0,01","-0,00","0,00"
2003-12-31 to 2007-12-31,Mkt-RF,"0,49***","0,47***","0,64***","0,46***","0,60***","0,48***","0,48***","0,32***"
2003-12-31 to 2007-12-31,SMB,"-0,15","-0,26","-0,03","-0,22","0,90***","-0,15","-0,15","0,01"
2003-12-31 to 2007-12-31,HML,"0,77*","1,19***","1,12**","0,92*","1,35**","1,66***","1,21**","0,90*"
2003-12-31 to 2007-12-31,RMW,"-0,12","0,08","0,13","0,39","0,07","0,20","0,04","-0,18"
2003-12-31 to 2007-12-31,CMA,"-0,18","-0,40","-0,33","-0,25","-0,50","-0,68**","-0,43","-0,47"
2003-12-31 to 2007-12-31,Mean Residuals,"-0,00","-0,00","-0,00","-0,00","-0,00","-0,00","-0,00","-0,00"
2007-12-31 to 2009-12-31,Alpha,"-0,01","-0,02","-0,02","-0,01","-0,01","-0,02","-0,02","-0,02"
2007-12-31 to 2009-12-31,Mkt-RF,"0,48**","0,50**","0,42*","0,40*","0,59**","0,54**","0,51**","0,35*"
2007-12-31 to 2009-12-31,SMB,"0,11","0,01","0,23","0,02","1,05*","0,04","0,09","0,16"
2007-12-31 to 2009-12-31,HML,"0,58","1,09","0,73","0,55","1,14","1,61*","1,08","0,97"
2007-12-31 to 2009-12-31,RMW,"1,15","1,41","1,77","1,45","1,15","1,62","1,38","1,33"
2007-12-31 to 2009-12-31,CMA,"-0,43","-0,36","-0,42","-0,50","-0,75","-0,37","-0,39","0,09"
2007-12-31 to 2009-12-31,Mean Residuals,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2009-12-31 to 2012-12-31,Alpha,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2009-12-31 to 2012-12-31,Mkt-RF,"0,47***","0,45***","0,53***","0,34***","0,62***","0,45***","0,46***","0,30***"
2009-12-31 to 2012-12-31,SMB,"-0,24","-0,42*","-0,38","-0,36","0,70**","-0,46*","-0,35","-0,37*"
2009-12-31 to 2012-12-31,HML,"-0,24","0,14","-0,33","-0,15","0,14","0,52*","0,13","-0,00"
2009-12-31 to 2012-12-31,RMW,"-0,15","-0,14","0,29","0,15","0,01","-0,12","-0,14","0,16"
2009-12-31 to 2012-12-31,CMA,"-0,63","-0,43","0,27","-0,29","-0,64","-0,23","-0,43","-0,03"
2009-12-31 to 2012-12-31,Mean Residuals,"-0,00","-0,00","-0,00","-0,00","-0,00","-0,00","-0,00","-0,00"
2012-12-31 to 2019-12-31,Alpha,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2012-12-31 to 2019-12-31,Mkt-RF,"0,70***","0,69***","0,69***","0,67***","0,80***","0,70***","0,70***","0,53***"
2012-12-31 to 2019-12-31,SMB,"-0,64***","-0,77***","-0,47**","-0,65***","0,19","-0,71***","-0,67***","-0,67***"
2012-12-31 to 2019-12-31,HML,"-0,76***","-0,29","-0,97***","-0,75***","-0,35","0,18","-0,30","-0,60***"
2012-12-31 to 2019-12-31,RMW,"-0,37","-0,32","-0,49","-0,18","-0,36","-0,24","-0,31","-0,13"
2012-12-31 to 2019-12-31,CMA,"-0,10","-0,10","0,37","-0,02","-0,56","-0,27","-0,18","0,03"
2012-12-31 to 2019-12-31,Mean Residuals,"-0,00","-0,00","-0,00","-0,00","-0,00","-0,00","-0,00","-0,00"
2019-12-31 to 2021-12-31,Alpha,"0,00","0,00","0,00","0,00","-0,00","-0,00","0,00","-0,00"
2019-12-31 to 2021-12-31,Mkt-RF,"0,69***","0,74***","0,59***","0,70***","0,73***","0,78***","0,73***","0,59***"
2019-12-31 to 2021-12-31,SMB,"-0,19","-0,26","0,00","-0,30","0,91***","-0,00","-0,12","-0,23"
2019-12-31 to 2021-12-31,HML,"0,10","0,42*","0,02","0,12","0,73**","0,83***","0,46*","0,20"
2019-12-31 to 2021-12-31,RMW,"1,03**","0,89*","0,69","1,01**","1,46***","0,97**","0,99**","1,23**"
2019-12-31 to 2021-12-31,CMA,"0,28","0,35","0,15","0,16","0,06","0,38","0,30","0,39"
2019-12-31 to 2021-12-31,Mean Residuals,"-0,00","-0,00","-0,00","-0,00","-0,00","-0,00","-0,00","-0,00"
2021-12-31 to 2024-12-31,Alpha,"0,01*","0,00","0,01","0,01*","0,00","0,00","0,00","0,00"
2021-12-31 to 2024-12-31,Mkt-RF,"0,57***","0,59***","0,45***","0,60***","0,80***","0,66***","0,62***","0,48***"
2021-12-31 to 2024-12-31,SMB,"0,01","0,00","-0,08","0,08","1,01***","0,21","0,10","0,18"
2021-12-31 to 2024-12-31,HML,"-0,32","0,16","0,13","-0,27","0,14","0,59**","0,14","-0,22"
2021-12-31 to 2024-12-31,RMW,"0,25","0,30","0,02","0,44","0,19","0,32","0,28","0,29"
2021-12-31 to 2024-12-31,CMA,"-0,47","-0,21","-0,81*","-0,18","-0,25","0,05","-0,22","0,24"
2021-12-31 to 2024-12-31,Mean Residuals,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
